215	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@emk1994m-words#@emk1994m#894.73#894.922
216	смотрю	смотреть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#894.922#895.114
217	Дудя	Дудь	PROPN	_	Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#895.114#895.306
218	ну	ну	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#895.306#895.498
219	просто	просто	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#895.498#895.691
220	как	как	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#895.8#896.188
221	бы	бы	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#896.188#896.576
222	чтобы	чтобы	SCONJ	_	Mood=Cnd	_	_	_	@emk1994m-words#@emk1994m#896.576#896.964
223	быть	быть	AUX	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#896.964#897.355
224	в	в	ADP	_	_	_	_	_	@emk1994m-words#@emk1994m#897.355#897.356
225	курсе	курс	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#897.356#897.357
226	не	не	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#897.46#897.688
227	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#897.688#897.916
228	не	не	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#897.916#898.144
229	не	не	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#898.15#898.9
230	фанатично	фанатично	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#898.9#899.65
231	На	на	ADP	_	_	_	_	_	@emk1994m-words#@emk1994m#900.38#900.664
232	Юлю	Юля	PROPN	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#900.664#900.948
233	Поломину	Поломин	PROPN	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#900.948#901.232
234	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@emk1994m-words#@emk1994m#901.232#901.516
235	подписан	подписать	VERB	_	Aspect=Perf|Gender=Masc|Number=Sing|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass	_	_	_	@emk1994m-words#@emk1994m#901.516#901.8
236	Юля	Юля	PROPN	_	Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#901.802#902.083
237	для	для	ADP	_	_	_	_	_	@emk1994m-words#@emk1994m#902.083#902.364
238	меня	я	PRON	_	Case=Gen|Number=Sing|Person=1	_	_	_	@emk1994m-words#@emk1994m#902.364#902.645
239	просто	просто	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#902.645#902.926
240	была	быть	AUX	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#902.926#903.207
241	как	как	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#903.207#903.488
242	бы	бы	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#903.488#903.769
243	глотком	глоток	NOUN	_	Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#903.769#904.05
244	какого-то	какой-то	DET	_	Case=Gen|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#904.05#904.331
245	свежего	свежий	ADJ	_	Case=Gen|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#904.331#904.612
246	воздуха	воздух	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#904.612#904.893
247	вот	вот	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#904.893#905.174
248	почему-то	почему-то	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#905.174#905.455
249	вот	вот	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#905.455#905.736
250	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@emk1994m-words#@emk1994m#905.736#906.017
251	как-то	как-то	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#906.017#906.298
252	знаешь	знать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#906.298#906.579
253	так	так	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#906.579#906.86
254	изначально	изначально	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#906.86#907.141
255	проникся	проникся	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@emk1994m-words#@emk1994m#907.141#907.422
256	и	и	CCONJ	_	_	_	_	_	@emk1994m-words#@emk1994m#907.422#907.711
257	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@emk1994m-words#@emk1994m#908.74#908.933
258	смотрю	смотреть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#908.933#909.126
259	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#909.126#909.319
260	мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	_	_	_	@emk1994m-words#@emk1994m#909.319#909.512
261	ещё	еще	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#909.512#909.705
262	очень	очень	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#909.705#909.898
263	нравится	нравиться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@emk1994m-words#@emk1994m#909.898#910.091
264	мистер	мистер	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#910.091#910.284
265	дудл	дудть	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#910.284#910.48
266	это	этот	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#910.485#910.744
267	мужчина	мужчина	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#910.744#911.003
268	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	@emk1994m-words#@emk1994m#911.003#911.262
269	просто	просто	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#911.262#911.521
270	сидит	сидеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#911.521#911.78
271	и	и	CCONJ	_	_	_	_	_	@emk1994m-words#@emk1994m#911.78#912.039
272	рисует	рисовать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#912.039#912.298
273	вот	вот	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#912.298#912.557
274	так	так	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#912.557#912.816
275	дудлы	дудла	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#912.816#913.08
276	а	а	CCONJ	_	_	_	_	_	@emk1994m-words#@emk1994m#913.085#913.366
277	мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	_	_	_	@emk1994m-words#@emk1994m#913.366#913.647
278	очень	очень	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#913.647#913.928
279	нравится	нравиться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@emk1994m-words#@emk1994m#913.928#914.209
280	аа	а	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#914.209#914.49
281	if	if	X	_	Foreign=Yes	_	_	_	@emk1994m-words#@emk1994m#914.49#914.771
282	you	you	X	_	Foreign=Yes	_	_	_	@emk1994m-words#@emk1994m#914.771#915.052
283	high	high	X	_	Foreign=Yes	_	_	_	@emk1994m-words#@emk1994m#915.052#915.333
284	ну	ну	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#915.333#915.614
285	типа	тип	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#915.614#915.895
286	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#915.895#916.176
287	если	если	SCONJ	_	_	_	_	_	@emk1994m-words#@emk1994m#916.176#916.457
288	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@emk1994m-words#@emk1994m#916.457#916.738
289	накуренный	накурить	VERB	_	Aspect=Perf|Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass	_	_	_	@emk1994m-words#@emk1994m#916.738#917.019
290	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#917.019#917.3
291	ну	ну	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#917.3#917.581
292	там	там	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#917.581#917.862
293	выкладываются	выкладывать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@emk1994m-words#@emk1994m#917.862#918.143
294	просто	просто	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#918.143#918.424
295	всякие	всякий	DET	_	Case=Nom|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#918.424#918.705
296	залипательные	залипательный	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#918.705#918.986
297	короче	короткий	ADJ	_	Degree=Cmp	_	_	_	@emk1994m-words#@emk1994m#918.986#919.267
298	штуки	штука	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#919.267#919.557
299	и	и	CCONJ	_	_	_	_	_	@emk1994m-words#@emk1994m#919.56#919.809
300	process	process	X	_	Foreign=Yes	_	_	_	@emk1994m-words#@emk1994m#919.809#920.058
301	video	video	X	_	Foreign=Yes	_	_	_	@emk1994m-words#@emk1994m#920.058#920.307
302	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#920.307#920.556
303	ещё	еще	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#920.556#920.805
304	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#920.805#921.054
305	ну	ну	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#921.054#921.303
306	то	то	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#921.303#921.552
307	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#921.552#921.801
308	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	_	_	_	@emk1994m-words#@emk1994m#921.801#922.05
309	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#922.05#922.299
310	вот	вот	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#922.299#922.548
311	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@emk1994m-words#@emk1994m#922.548#922.797
312	так	так	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#922.797#923.046
313	полагаю	полагать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#923.046#923.295
314	как-то	как-то	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#923.295#923.544
315	связаны	связать	VERB	_	Aspect=Perf|Number=Plur|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass	_	_	_	@emk1994m-words#@emk1994m#923.544#923.793
316	между	между	ADP	_	_	_	_	_	@emk1994m-words#@emk1994m#923.793#924.042
317	собой	себя	PRON	_	Case=Ins	_	_	_	@emk1994m-words#@emk1994m#924.042#924.291
318	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#924.291#924.54
319	вот	вот	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#924.54#924.789
320	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	_	_	_	@emk1994m-words#@emk1994m#924.789#925.038
321	тоже	тоже	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#925.038#925.287
322	классные	классный	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#925.287#925.536
323	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#925.536#925.785
324	а	а	CCONJ	_	_	_	_	_	@emk1994m-words#@emk1994m#925.785#926.034
325	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#926.034#926.283
326	еще	еще	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#926.283#926.532
327	очень	очень	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#926.532#926.781
328	классные	классный	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#926.781#927.03
329	hikea	hikea	X	_	Foreign=Yes	_	_	_	@emk1994m-words#@emk1994m#927.03#927.279
330	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#927.279#927.528
331	не	не	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#927.528#927.777
332	видел	видеть	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#927.777#928.026
333	?	?	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#928.026#928.275
334	где	где	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#928.275#928.524
335	люди	человек	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#928.524#928.773
336	ээ	ээ	X	_	Foreign=Yes	_	_	_	@emk1994m-words#@emk1994m#928.773#929.022
337	обдолбанные	обдолбать	VERB	_	Aspect=Perf|Case=Nom|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass	_	_	_	@emk1994m-words#@emk1994m#929.022#929.271
338	собирают	собирать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#929.271#929.52
339	мебель	мебель	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#929.52#929.769
340	из	из	ADP	_	_	_	_	_	@emk1994m-words#@emk1994m#929.769#930.018
341	икеи	икея	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#930.018#930.275
342	самый	самый	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#936.68#936.948
343	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#936.948#937.216
344	вот	вот	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#937.216#937.484
345	самый	самый	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#937.484#937.752
346	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#937.752#938.02
347	пиздец	пиздец	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#938.02#938.288
348	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#938.288#938.556
349	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#938.556#938.824
350	даже	даже	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#938.824#939.092
351	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#939.092#939.36
352	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@emk1994m-words#@emk1994m#939.36#939.628
353	не	не	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#939.628#939.896
354	воспринимаешь	воспринимать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#939.896#940.164
355	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#940.164#940.432
356	как	как	SCONJ	_	_	_	_	_	@emk1994m-words#@emk1994m#940.432#940.7
357	пиздец	пиздец	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#940.7#940.968
358	ъ	ъ	PROPN	_	_	_	_	_	@emk1994m-words#@emk1994m#940.968#941.236
359	у	у	ADP	_	_	_	_	_	@emk1994m-words#@emk1994m#941.236#941.504
360	тя	ть	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#941.504#941.772
361	уже	уже	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#941.772#942.04
362	просто	просто	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#942.04#942.308
363	какие-то	какой-то	DET	_	Case=Nom|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#942.308#942.576
364	с...	с..траница	PROPN	_	Animacy=Anim|Case=Ins|Gender=Fem|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#942.576#942.844
365	другие	другой	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#942.844#943.112
366	эмоции	эмоция	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#943.112#943.38
367	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#943.38#943.648
368	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@emk1994m-words#@emk1994m#943.648#943.916
369	такой	такой	DET	_	Case=Ins|Gender=Fem|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#943.916#944.184
370	начинаешь	начинать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#944.184#944.452
371	кашлять	кашлять	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#944.452#944.72
372	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#944.72#944.988
373	и	и	CCONJ	_	_	_	_	_	@emk1994m-words#@emk1994m#944.988#945.256
374	у	у	ADP	_	_	_	_	_	@emk1994m-words#@emk1994m#945.256#945.524
375	тебя	ты	PRON	_	Case=Gen|Number=Sing|Person=2	_	_	_	@emk1994m-words#@emk1994m#945.524#945.792
376	изо	из	ADP	_	_	_	_	_	@emk1994m-words#@emk1994m#945.792#946.06
377	рта	рот	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#946.06#946.36
378	и	и	CCONJ	_	_	_	_	_	@emk1994m-words#@emk1994m#947.62#947.935
379	у	у	ADP	_	_	_	_	_	@emk1994m-words#@emk1994m#947.935#948.25
380	тебя	ты	PRON	_	Case=Gen|Number=Sing|Person=2	_	_	_	@emk1994m-words#@emk1994m#948.25#948.565
381	изо	из	ADP	_	_	_	_	_	@emk1994m-words#@emk1994m#948.565#948.88
382	рта	рот	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#948.88#949.195
383	вылезает	вылезать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#949.195#949.51
384	к...к...к...к...какой-то	к...к...к...к...какой-то	DET	_	Case=Nom|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#949.51#949.825
385	ваще	васто	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#949.825#950.14
386	типа	тип	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#950.14#950.455
387	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#950.455#950.77
388	кролик	кролик	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#950.77#951.085
389	и	и	CCONJ	_	_	_	_	_	@emk1994m-words#@emk1994m#951.085#951.4
390	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@emk1994m-words#@emk1994m#951.4#951.715
391	такой	такой	DET	_	Case=Nom|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#951.715#952.03
392	типа	тип	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#952.03#952.345
393	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#952.345#952.66
394	что	что	PRON	_	Case=Nom	_	_	_	@emk1994m-words#@emk1994m#952.66#952.975
395	со	с	ADP	_	_	_	_	_	@emk1994m-words#@emk1994m#952.975#953.29
396	мной	я	PRON	_	Case=Ins|Number=Sing|Person=1	_	_	_	@emk1994m-words#@emk1994m#953.29#953.605
397	происходит	происходить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#953.605#953.92
398	?	?	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#953.92#954.245
399	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#955.227#955.689
400	вот	вот	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#955.689#956.151
401	социальные	социальный	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#956.151#956.613
402	эээ	эээ	NOUN	_	Case=Gen|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#956.613#957.075
403	вайны	вайный	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#957.075#957.537
404	да	да	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#974.88#975.342
405	потому	потому	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#975.342#975.804
406	что	что	SCONJ	_	_	_	_	_	@emk1994m-words#@emk1994m#975.804#976.266
407	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#976.266#976.728
408	же	же	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#976.728#977.19
409	просто	просто	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#977.19#977.652
410	блять	блять	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#977.652#978.114
411	ёбаный	ёбаный	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#978.114#978.576
412	нахуй	наховать	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#978.576#979.038
413	пиздец	пиздец	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#979.038#979.506
414	проблема	проблема	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#979.508#979.825
415	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#979.825#980.142
416	в	в	ADP	_	_	_	_	_	@emk1994m-words#@emk1994m#980.142#980.459
417	России	Россия	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#980.459#980.776
418	основная	основной	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#980.776#981.093
419	в	в	ADP	_	_	_	_	_	@emk1994m-words#@emk1994m#981.093#981.41
420	том	то	PRON	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#981.41#981.727
421	что	что	SCONJ	_	_	_	_	_	@emk1994m-words#@emk1994m#981.727#982.044
422	люди	человек	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#982.044#982.361
423	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#982.361#982.678
424	которые	который	PRON	_	Case=Nom	_	_	_	@emk1994m-words#@emk1994m#982.678#982.995
425	производят	производить	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#982.995#983.312
426	контент	контент	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#983.312#983.629
427	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#983.629#983.946
428	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	_	_	_	@emk1994m-words#@emk1994m#983.946#984.263
429	ориентируются	ориентироваться	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Pass	_	_	_	@emk1994m-words#@emk1994m#984.263#984.58
430	на	на	ADP	_	_	_	_	_	@emk1994m-words#@emk1994m#984.58#984.897
431	аудиторию	аудитория	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#984.897#985.214
432	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#985.214#985.531
433	а	а	CCONJ	_	_	_	_	_	@emk1994m-words#@emk1994m#985.531#985.848
434	должно	должен	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	_	_	_	@emk1994m-words#@emk1994m#985.848#986.165
435	быть	быть	AUX	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#986.165#986.482
436	наоборот	наоборот	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#986.482#986.81
